cetes/consumo,28 dias,92,184,364
CN,0.002176603,0.002107497,0.002043386,0.001938483
CIN,0.025819627,0.025311567,0.023174657,0.022138197
theta,29,28,30,31
Medias,0.063527677,0.059605096,0.061208322,0.060321225
covcn,0.002176603,0.002107497,0.002043386,0.001938483
covcin,0.025819627,0.025311567,0.023174657,0.022138197
theta 2,2.460441325,2.354855994,2.64117492,2.72475779
